Symbol,TaskName,FoundTime,KLineTime,KLineEndTime,lowPrice,lastPrice,amplitude,highPrice,Description
alpaca,amplitude,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,50.83207262,0.09970000,0.09530000,0.06610000,"alpaca在1h内振幅达到50.83%; 最高价: 0.09970000; 最低价: 0.06610000"
enj,amplitude,2025-05-15T12:03:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,21.29729730,0.11220000,0.11160000,0.09250000,"enj在1h内振幅达到21.30%; 最高价: 0.11220000; 最低价: 0.09250000"
flm,amplitude,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,63.19702602,0.04390000,0.03160000,0.02690000,"flm在1h内振幅达到63.20%; 最高价: 0.04390000; 最低价: 0.02690000"
hard,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,64.77272727,0.01450000,0.00950000,0.00880000,"hard在1h内振幅达到64.77%; 最高价: 0.01450000; 最低价: 0.00880000"
nuls,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,16.66666667,0.02870000,0.02580000,0.02460000,"nuls在1h内振幅达到16.67%; 最高价: 0.02870000; 最低价: 0.02460000"
pengu,amplitude,2025-05-15T12:03:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,11.12325440,0.00915100,0.00872800,0.00823500,"pengu在1h内振幅达到11.12%; 最高价: 0.00915100; 最低价: 0.00823500"
pros,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,57.14285714,0.05500000,0.03720000,0.03500000,"pros在1h内振幅达到57.14%; 最高价: 0.05500000; 最低价: 0.03500000"
snt,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,18.95321174,0.03000000,0.02720000,0.02522000,"snt在1h内振幅达到18.95%; 最高价: 0.03000000; 最低价: 0.02522000"
troy,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,72.13114754,0.00010500,0.00006900,0.00006100,"troy在1h内振幅达到72.13%; 最高价: 0.00010500; 最低价: 0.00006100"
vidt,amplitude,2025-05-15T12:03:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,42.85714286,0.00150000,0.00115000,0.00105000,"vidt在1h内振幅达到42.86%; 最高价: 0.00150000; 最低价: 0.00105000"
alpaca,amplitude,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,50.83207262,0.09970000,0.09530000,0.06610000,"alpaca在1h内振幅达到50.83%; 最高价: 0.09970000; 最低价: 0.06610000"
enj,amplitude,2025-05-15T12:08:30+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,21.29729730,0.11220000,0.11160000,0.09250000,"enj在1h内振幅达到21.30%; 最高价: 0.11220000; 最低价: 0.09250000"
flm,amplitude,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,63.19702602,0.04390000,0.03160000,0.02690000,"flm在1h内振幅达到63.20%; 最高价: 0.04390000; 最低价: 0.02690000"
hard,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,64.77272727,0.01450000,0.00950000,0.00880000,"hard在1h内振幅达到64.77%; 最高价: 0.01450000; 最低价: 0.00880000"
nuls,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,16.66666667,0.02870000,0.02580000,0.02460000,"nuls在1h内振幅达到16.67%; 最高价: 0.02870000; 最低价: 0.02460000"
pengu,amplitude,2025-05-15T12:08:30+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,11.12325440,0.00915100,0.00872800,0.00823500,"pengu在1h内振幅达到11.12%; 最高价: 0.00915100; 最低价: 0.00823500"
pros,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,57.14285714,0.05500000,0.03720000,0.03500000,"pros在1h内振幅达到57.14%; 最高价: 0.05500000; 最低价: 0.03500000"
snt,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,18.95321174,0.03000000,0.02720000,0.02522000,"snt在1h内振幅达到18.95%; 最高价: 0.03000000; 最低价: 0.02522000"
troy,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,72.13114754,0.00010500,0.00006900,0.00006100,"troy在1h内振幅达到72.13%; 最高价: 0.00010500; 最低价: 0.00006100"
vidt,amplitude,2025-05-15T12:08:30+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,42.85714286,0.00150000,0.00115000,0.00105000,"vidt在1h内振幅达到42.86%; 最高价: 0.00150000; 最低价: 0.00105000"
alpaca,amplitude,2025-05-15T12:12:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,50.83207262,0.09970000,0.09530000,0.06610000,"alpaca在1h内振幅达到50.83%; 最高价: 0.09970000; 最低价: 0.06610000"
enj,amplitude,2025-05-15T12:12:35+08:00,2025-04-21T15:15:00+08:00,2025-04-21T15:29:59+08:00,21.29729730,0.11220000,0.11160000,0.09250000,"enj在1h内振幅达到21.30%; 最高价: 0.11220000; 最低价: 0.09250000"
flm,amplitude,2025-05-15T12:12:35+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,63.19702602,0.04390000,0.03160000,0.02690000,"flm在1h内振幅达到63.20%; 最高价: 0.04390000; 最低价: 0.02690000"
hard,amplitude,2025-05-15T12:12:35+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,64.77272727,0.01450000,0.00950000,0.00880000,"hard在1h内振幅达到64.77%; 最高价: 0.01450000; 最低价: 0.00880000"
nuls,amplitude,2025-05-15T12:12:36+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,16.66666667,0.02870000,0.02580000,0.02460000,"nuls在1h内振幅达到16.67%; 最高价: 0.02870000; 最低价: 0.02460000"
pengu,amplitude,2025-05-15T12:12:36+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,11.12325440,0.00915100,0.00872800,0.00823500,"pengu在1h内振幅达到11.12%; 最高价: 0.00915100; 最低价: 0.00823500"
pros,amplitude,2025-05-15T12:12:36+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,57.14285714,0.05500000,0.03720000,0.03500000,"pros在1h内振幅达到57.14%; 最高价: 0.05500000; 最低价: 0.03500000"
snt,amplitude,2025-05-15T12:12:36+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,18.95321174,0.03000000,0.02720000,0.02522000,"snt在1h内振幅达到18.95%; 最高价: 0.03000000; 最低价: 0.02522000"
troy,amplitude,2025-05-15T12:12:36+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,72.13114754,0.00010500,0.00006900,0.00006100,"troy在1h内振幅达到72.13%; 最高价: 0.00010500; 最低价: 0.00006100"
vidt,amplitude,2025-05-15T12:12:36+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,42.85714286,0.00150000,0.00115000,0.00105000,"vidt在1h内振幅达到42.86%; 最高价: 0.00150000; 最低价: 0.00105000"
alpaca,amplitude,2025-05-15T13:44:23+08:00,2025-05-02T10:45:00+08:00,2025-05-02T10:59:59+08:00,58.27102804,0.33870000,0.22440000,0.21400000,10.00000000,"alpaca在1h内振幅达到58.27%; 最高价: 0.33870000; 最低价: 0.21400000; 振幅阈值: 10.00%，K线间隔: 15m"
flm,amplitude,2025-05-15T13:44:25+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,63.19702602,0.04390000,0.03160000,0.02690000,10.00000000,"flm在1h内振幅达到63.20%; 最高价: 0.04390000; 最低价: 0.02690000; 振幅阈值: 10.00%，K线间隔: 15m"
hard,amplitude,2025-05-15T13:44:26+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,64.77272727,0.01450000,0.00950000,0.00880000,10.00000000,"hard在1h内振幅达到64.77%; 最高价: 0.01450000; 最低价: 0.00880000; 振幅阈值: 10.00%，K线间隔: 15m"
nuls,amplitude,2025-05-15T13:44:26+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,16.66666667,0.02870000,0.02580000,0.02460000,10.00000000,"nuls在1h内振幅达到16.67%; 最高价: 0.02870000; 最低价: 0.02460000; 振幅阈值: 10.00%，K线间隔: 15m"
pengu,amplitude,2025-05-15T13:44:27+08:00,2025-04-25T14:30:00+08:00,2025-04-25T14:44:59+08:00,11.12325440,0.00915100,0.00872800,0.00823500,10.00000000,"pengu在1h内振幅达到11.12%; 最高价: 0.00915100; 最低价: 0.00823500; 振幅阈值: 10.00%，K线间隔: 15m"
pros,amplitude,2025-05-15T13:44:27+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,57.14285714,0.05500000,0.03720000,0.03500000,10.00000000,"pros在1h内振幅达到57.14%; 最高价: 0.05500000; 最低价: 0.03500000; 振幅阈值: 10.00%，K线间隔: 15m"
snt,amplitude,2025-05-15T13:44:27+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,18.95321174,0.03000000,0.02720000,0.02522000,10.00000000,"snt在1h内振幅达到18.95%; 最高价: 0.03000000; 最低价: 0.02522000; 振幅阈值: 10.00%，K线间隔: 15m"
troy,amplitude,2025-05-15T13:44:27+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,72.13114754,0.00010500,0.00006900,0.00006100,10.00000000,"troy在1h内振幅达到72.13%; 最高价: 0.00010500; 最低价: 0.00006100; 振幅阈值: 10.00%，K线间隔: 15m"
vib,amplitude,2025-05-15T13:44:27+08:00,2025-05-02T10:45:00+08:00,2025-05-02T10:59:59+08:00,354.44444444,0.00818000,0.00223000,0.00180000,10.00000000,"vib在1h内振幅达到354.44%; 最高价: 0.00818000; 最低价: 0.00180000; 振幅阈值: 10.00%，K线间隔: 15m"
vidt,amplitude,2025-05-15T13:44:27+08:00,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,42.85714286,0.00150000,0.00115000,0.00105000,10.00000000,"vidt在1h内振幅达到42.86%; 最高价: 0.00150000; 最低价: 0.00105000; 振幅阈值: 10.00%，K线间隔: 15m"
