Symbol,Interval,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
aixbt,15m,2025-04-20T21:31:06+08:00,81,0.08297654,0.08293086,0.08287901,0.08279136,0.08238272,0.00000000,true
1000sats,15m,2025-04-20T21:31:06+08:00,81,0.00003898,0.00003898,0.00003897,0.00003896,0.00003891,0.00000000,true
ace,15m,2025-04-20T21:31:06+08:00,81,0.44535802,0.44518519,0.44498765,0.44471605,0.44304938,0.00000000,true
aca,15m,2025-04-20T21:31:06+08:00,81,0.02845679,0.02840494,0.02834568,0.02824568,0.02777037,0.00000000,true
alpaca,15m,2025-04-20T21:31:06+08:00,81,0.04904444,0.04894074,0.04885185,0.04868519,0.04694691,0.00000000,true
alpha,15m,2025-04-20T21:31:06+08:00,81,0.02633580,0.02633086,0.02632346,0.02631358,0.02627037,0.00000000,true
algo,15m,2025-04-20T21:31:06+08:00,81,0.18208765,0.18204198,0.18196667,0.18183704,0.18122840,0.00000000,true
arpa,15m,2025-04-20T21:31:06+08:00,81,0.02204951,0.02204531,0.02204037,0.02203272,0.02197136,0.00000000,true
ata,15m,2025-04-20T21:31:06+08:00,81,0.05579877,0.05578765,0.05577901,0.05576667,0.05555556,0.00000000,true
bake,15m,2025-04-20T21:31:06+08:00,81,0.12369877,0.12367037,0.12364444,0.12362840,0.12346173,0.00000000,true
bar,15m,2025-04-20T21:31:06+08:00,81,1.61108642,1.61082716,1.61045679,1.60990123,1.60876543,0.00000000,true
bel,15m,2025-04-20T21:31:06+08:00,81,0.74611235,0.74554691,0.74481605,0.74407654,0.73937901,0.00000000,true
band,15m,2025-04-20T21:31:06+08:00,81,0.70902469,0.70896296,0.70883951,0.70871605,0.70776543,0.00000000,true
bsw,15m,2025-04-20T21:31:06+08:00,81,0.02085556,0.02079136,0.02073704,0.02064321,0.02007284,0.00000000,true
bico,15m,2025-04-20T21:31:06+08:00,81,0.11016790,0.11015556,0.11014691,0.11013827,0.11004198,0.00000000,true
bnb,15m,2025-04-20T21:31:06+08:00,81,592.33185185,592.31925926,592.28728395,592.22061728,591.97308642,0.00000000,true
bome,15m,2025-04-20T21:31:06+08:00,81,0.00108315,0.00108259,0.00108185,0.00108085,0.00107700,0.00000000,true
cfx,15m,2025-04-20T21:31:06+08:00,81,0.07012469,0.07011605,0.07010988,0.07010494,0.07001852,0.00000000,true
chess,15m,2025-04-20T21:31:06+08:00,81,0.04969753,0.04968272,0.04966420,0.04964321,0.04948148,0.00000000,true
chr,15m,2025-04-20T21:31:06+08:00,81,0.08147654,0.08146914,0.08145802,0.08144074,0.08139136,0.00000000,true
cos,15m,2025-04-20T21:31:06+08:00,81,0.00295977,0.00295925,0.00295863,0.00295735,0.00295362,0.00000000,true
ctk,15m,2025-04-20T21:31:06+08:00,81,0.33653951,0.33653827,0.33650988,0.33647654,0.33612593,0.00000000,true
dexe,15m,2025-04-20T21:31:06+08:00,81,14.92009877,14.91280247,14.90198765,14.88127160,14.71301235,0.00000000,true
ctsi,15m,2025-04-20T21:31:06+08:00,81,0.05309753,0.05309012,0.05307778,0.05305926,0.05298765,0.00000000,true
dent,15m,2025-04-20T21:31:06+08:00,81,0.00068004,0.00067985,0.00067967,0.00067940,0.00067716,0.00000000,true
data,15m,2025-04-20T21:31:06+08:00,81,0.01535296,0.01534864,0.01534235,0.01533259,0.01524617,0.00000000,true
d,15m,2025-04-20T21:31:06+08:00,81,0.03780420,0.03779494,0.03778210,0.03776222,0.03774494,0.00000000,true
dydx,15m,2025-04-20T21:31:06+08:00,81,0.59045309,0.59044444,0.59038889,0.59028148,0.58958519,0.00000000,true
epic,15m,2025-04-20T21:31:06+08:00,81,1.47624691,1.47559259,1.47497531,1.47386420,1.46913580,0.00000000,true
doge,15m,2025-04-20T21:31:06+08:00,81,0.15543000,0.15539568,0.15534716,0.15526840,0.15472086,0.00000000,true
dia,15m,2025-04-20T21:31:06+08:00,81,0.33697037,0.33686543,0.33671975,0.33648889,0.33524815,0.00000000,true
ethfi,15m,2025-04-20T21:31:06+08:00,81,0.47656790,0.47646914,0.47634568,0.47614815,0.47427160,0.00000000,true
flm,15m,2025-04-20T21:31:06+08:00,81,0.02048519,0.02041481,0.02035309,0.02025556,0.01951975,0.00000000,true
etc,15m,2025-04-20T21:31:06+08:00,81,15.91185185,15.91172840,15.91123457,15.91024691,15.89753086,0.00000000,true
fio,15m,2025-04-20T21:31:06+08:00,81,0.01295136,0.01295025,0.01294765,0.01294568,0.01293519,0.00000000,true
ghst,15m,2025-04-20T21:31:06+08:00,81,0.38858025,0.38854321,0.38849383,0.38845679,0.38819753,0.00000000,true
gala,15m,2025-04-20T21:31:06+08:00,81,0.01531037,0.01530691,0.01530284,0.01529531,0.01525519,0.00000000,true
floki,15m,2025-04-20T21:31:06+08:00,81,0.00005406,0.00005405,0.00005404,0.00005401,0.00005379,0.00000000,true
glmr,15m,2025-04-20T21:31:06+08:00,81,0.06338148,0.06336296,0.06333333,0.06329012,0.06306914,0.00000000,true
gtc,15m,2025-04-20T21:31:06+08:00,81,0.23517284,0.23514815,0.23513580,0.23511111,0.23509877,0.00000000,true
g,15m,2025-04-20T21:31:06+08:00,81,0.01300160,0.01299753,0.01299284,0.01298556,0.01295247,0.00000000,true
gmx,15m,2025-04-20T21:31:06+08:00,81,16.02604938,16.01790123,16.00654321,15.98703704,15.87345679,0.00000000,true
jst,15m,2025-04-20T21:31:06+08:00,81,0.03072753,0.03072481,0.03072123,0.03071630,0.03070790,0.00000000,true
hook,15m,2025-04-20T21:31:06+08:00,81,0.11191975,0.11191852,0.11189877,0.11188025,0.11175556,0.00000000,true
inj,15m,2025-04-20T21:31:06+08:00,81,8.36728395,8.36691358,8.36567901,8.36320988,8.34604938,0.00000000,true
ilv,15m,2025-04-20T21:31:06+08:00,81,11.16617284,11.16506173,11.16246914,11.15987654,11.13530864,0.00000000,true
io,15m,2025-04-20T21:31:06+08:00,81,0.56848148,0.56834568,0.56811111,0.56776543,0.56654321,0.00000000,true
kaito,15m,2025-04-20T21:31:06+08:00,81,0.75598025,0.75561235,0.75517284,0.75454198,0.75324444,0.00000000,true
iq,15m,2025-04-20T21:31:06+08:00,81,0.00405658,0.00404662,0.00403493,0.00401227,0.00389480,0.00000000,true
lumia,15m,2025-04-20T21:31:06+08:00,81,0.29186420,0.29186420,0.29180247,0.29175309,0.29079012,0.00000000,true
knc,15m,2025-04-20T21:31:06+08:00,81,0.32227284,0.32213333,0.32196667,0.32165432,0.32006543,0.00000000,true
kava,15m,2025-04-20T21:31:06+08:00,81,0.42775556,0.42767284,0.42755802,0.42731235,0.42577160,0.00000000,true
ldo,15m,2025-04-20T21:31:06+08:00,81,0.68780247,0.68751852,0.68714815,0.68643210,0.68213580,0.00000000,true
lqty,15m,2025-04-20T21:31:06+08:00,81,0.53180247,0.53148148,0.53111111,0.53049383,0.52767901,0.00000000,true
lsk,15m,2025-04-20T21:31:06+08:00,81,0.48765432,0.48746914,0.48720988,0.48664198,0.48306173,0.00000000,true
meme,15m,2025-04-20T21:31:06+08:00,81,0.00243577,0.00243435,0.00243314,0.00243088,0.00240186,0.00000000,true
luna,15m,2025-04-20T21:31:06+08:00,81,0.15457160,0.15456667,0.15455185,0.15454074,0.15443951,0.00000000,true
movr,15m,2025-04-20T21:31:06+08:00,81,5.31906173,5.31686420,5.31437037,5.31116049,5.28122222,0.00000000,true
mkr,15m,2025-04-20T21:31:06+08:00,81,1349.65432099,1349.55555556,1349.33333333,1349.00000000,1346.19753086,0.00000000,true
mubarak,15m,2025-04-20T21:31:06+08:00,81,0.02464321,0.02462716,0.02460864,0.02457531,0.02440247,0.00000000,true
neiro,15m,2025-04-20T21:31:06+08:00,81,0.00018412,0.00018409,0.00018405,0.00018397,0.00018354,0.00000000,true
nil,15m,2025-04-20T21:31:06+08:00,81,0.37012346,0.37001235,0.36990123,0.36972840,0.36879012,0.00000000,true
nfp,15m,2025-04-20T21:31:06+08:00,81,0.06625185,0.06622716,0.06620247,0.06615926,0.06578519,0.00000000,true
nkn,15m,2025-04-20T21:31:06+08:00,81,0.03400000,0.03368642,0.03342099,0.03292099,0.03009012,0.00000000,true
nmr,15m,2025-04-20T21:31:06+08:00,81,7.47864198,7.47555556,7.47197531,7.46555556,7.42074074,0.00000000,true
ogn,15m,2025-04-20T21:31:06+08:00,81,0.05790617,0.05774198,0.05757901,0.05727531,0.05505802,0.00000000,true
parti,15m,2025-04-20T21:31:06+08:00,81,0.15422469,0.15402716,0.15382593,0.15342840,0.15080988,0.00000000,true
ordi,15m,2025-04-20T21:31:06+08:00,81,6.47876543,6.47654321,6.47395062,6.46987654,6.44950617,0.00000000,true
ong,15m,2025-04-20T21:31:06+08:00,81,0.18712716,0.18706790,0.18699383,0.18682593,0.18584074,0.00000000,true
op,15m,2025-04-20T21:31:06+08:00,81,0.63928395,0.63913580,0.63888889,0.63848148,0.63602469,0.00000000,true
pengu,15m,2025-04-20T21:31:06+08:00,81,0.00492869,0.00492756,0.00492602,0.00492384,0.00491023,0.00000000,true
pond,15m,2025-04-20T21:31:06+08:00,81,0.00824272,0.00823691,0.00823074,0.00822025,0.00814802,0.00000000,true
prom,15m,2025-04-20T21:31:06+08:00,81,5.80792593,5.80619753,5.80461728,5.80144444,5.78086420,0.00000000,true
pros,15m,2025-04-20T21:31:06+08:00,81,0.04797407,0.04789753,0.04777284,0.04728889,0.04369259,0.00000000,true
rei,15m,2025-04-20T21:31:06+08:00,81,0.02293790,0.02290975,0.02288123,0.02282901,0.02249432,0.00000000,true
psg,15m,2025-04-20T21:31:06+08:00,81,1.92067901,1.92044444,1.92009877,1.91918519,1.91581481,0.00000000,true
ray,15m,2025-04-20T21:31:06+08:00,81,2.30300000,2.30107407,2.29908642,2.29379012,2.26312346,0.00000000,true
rlc,15m,2025-04-20T21:31:06+08:00,81,1.11912346,1.11886420,1.11856790,1.11807407,1.11522222,0.00000000,true
rsr,15m,2025-04-20T21:31:06+08:00,81,0.00688259,0.00688221,0.00688119,0.00687983,0.00687344,0.00000000,true
santos,15m,2025-04-20T21:31:06+08:00,81,2.46076543,2.46055556,2.46013580,2.45945679,2.45444444,0.00000000,true
snt,15m,2025-04-20T21:31:06+08:00,81,0.02159444,0.02149457,0.02139691,0.02120407,0.02048704,0.00000000,true
sun,15m,2025-04-20T21:31:06+08:00,81,0.01674222,0.01673914,0.01673531,0.01672802,0.01668938,0.00000000,true
stg,15m,2025-04-20T21:31:06+08:00,81,0.18101728,0.18095185,0.18087901,0.18075926,0.18014815,0.00000000,true
sol,15m,2025-04-20T21:31:06+08:00,81,131.04493827,130.94987654,130.83802469,130.64333333,129.37358025,0.00000000,true
tia,15m,2025-04-20T21:31:06+08:00,81,2.48079012,2.48045679,2.47997531,2.47875309,2.46975309,0.00000000,true
tko,15m,2025-04-20T21:31:06+08:00,81,0.14907284,0.14906667,0.14905556,0.14905432,0.14860000,0.00000000,true
sys,15m,2025-04-20T21:31:06+08:00,81,0.03295556,0.03295062,0.03294321,0.03293210,0.03285432,0.00000000,true
sxp,15m,2025-04-20T21:31:06+08:00,81,0.20550494,0.20540988,0.20532840,0.20530741,0.20480370,0.00000000,true
t,15m,2025-04-20T21:31:06+08:00,81,0.01465457,0.01464901,0.01464210,0.01462901,0.01454704,0.00000000,true
tut,15m,2025-04-20T21:31:06+08:00,81,0.02619938,0.02616259,0.02612827,0.02606802,0.02574185,0.00000000,true
tlm,15m,2025-04-20T21:31:06+08:00,81,0.00427654,0.00427630,0.00427556,0.00427469,0.00426988,0.00000000,true
turbo,15m,2025-04-20T21:31:06+08:00,81,0.00206412,0.00206399,0.00206364,0.00206301,0.00205856,0.00000000,true
twt,15m,2025-04-20T21:31:06+08:00,81,0.76902346,0.76899877,0.76894938,0.76882963,0.76828519,0.00000000,true
usual,15m,2025-04-20T21:31:06+08:00,81,0.12273086,0.12259753,0.12249383,0.12234444,0.12165432,0.00000000,true
utk,15m,2025-04-20T21:31:06+08:00,81,0.02773506,0.02772975,0.02772012,0.02770790,0.02761123,0.00000000,true
uni,15m,2025-04-20T21:31:06+08:00,81,5.19116049,5.19035802,5.18909877,5.18695062,5.17172840,0.00000000,true
vtho,15m,2025-04-20T21:31:06+08:00,81,0.00258902,0.00258837,0.00258774,0.00258683,0.00256730,0.00000000,true
xusd,15m,2025-04-20T21:31:06+08:00,81,1.00028148,1.00028025,1.00028025,1.00027778,1.00027037,0.00000000,false
vet,15m,2025-04-20T21:31:06+08:00,81,0.02240975,0.02240173,0.02239198,0.02237457,0.02228062,0.00000000,true
wbeth,15m,2025-04-20T21:31:06+08:00,81,1693.25395062,1693.01358025,1692.68938272,1692.29580247,1688.80123457,0.00000000,true
xec,15m,2025-04-20T21:31:06+08:00,81,0.00001910,0.00001909,0.00001909,0.00001909,0.00001908,0.00000000,true
zk,15m,2025-04-20T21:31:06+08:00,81,0.04789136,0.04788519,0.04787407,0.04786296,0.04776667,0.00000000,true
